 1.00000000000000E+0002;  5897975
 1.20000000000000E+0002;  5896700
 1.40000000000000E+0002;  5895166
 1.60000000000000E+0002;  5892862
 1.80000000000000E+0002;  5890814
 2.00000000000000E+0002;  5889022
 2.20000000000000E+0002;  5887486
 2.40000000000000E+0002;  5885438
 2.60000000000000E+0002;  5883390
 2.80000000000000E+0002;  5881342
 3.00000000000000E+0002;  5878526
 3.20000000000000E+0002;  5876222
 3.40000000000000E+0002;  5873918
 3.60000000000000E+0002;  5871614
 3.80000000000000E+0002;  5868798
 4.00000000000000E+0002;  5865470
 4.20000000000000E+0002;  5862654
 4.40000000000000E+0002;  5861118
 4.60000000000000E+0002;  5861118
