10;0;5622.30;6412.33;Свободный ЛУ;20985;75
10;1;6944.53;4874.75;Восточно-Грибной ЛУ;20985;75
10;2;908.51;10643.73;Ватьеганский ЛУ;20985;75
10;3;701.64;1495.89;Дружный ЛУ;20985;75
34;0;6459.69;9356.85;Элемент 1;8421631;62
34;1;6230.17;3028.67;Залежь 2;8421631;62
34;2;1758.47;10115.39;Залежь 1;8421631;62
34;3;4051.67;832.62;Элемент 2;8421631;62
