  100Ã; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 1; -1; 1; FALSE; FALSE; 34; 0; 0; 34; 0; 0; -1; 
  101; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 1; -1; 1; FALSE; FALSE; 68; 32768; 32768; 68; 32768; 32768; -1; 
  102; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 2; -1; 1; FALSE; FALSE; 174; 0; 0; 174; 0; 0; -1; 
  103Ã; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 2; -1; 1; FALSE; FALSE; 174; 0; 0; 174; 0; 0; -1; 
  104; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 1; -1; 2; FALSE; FALSE; 68; 32768; 32768; 68; 32768; 32768; -1; 
  105Ã; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 1; -1; 1; FALSE; FALSE; 34; 0; 0; 34; 0; 0; -1; 
  106; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 2; -1; 1; FALSE; FALSE; 174; 0; 0; 174; 0; 0; -1; 
  107; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 2; -1; 1; FALSE; FALSE; 174; 0; 0; 174; 0; 0; -1; 
  108Ã; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 1; -1; 1; FALSE; FALSE; 34; 0; 0; 34; 0; 0; -1; 
  112; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 14; -1; 1; FALSE; FALSE; 118; 0; -1; 118; 0; -1; -1; 
  113; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 2; -1; 1; FALSE; FALSE; 9; 32768; -1; 9; 32768; -1; -1; 
  117; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 1; -1; 1; FALSE; FALSE; 68; 32768; 32768; 68; 32768; 32768; -1; 
  122; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 1; -1; 2; FALSE; FALSE; 68; 32768; 32768; 68; 32768; 32768; -1; 
  129Ã; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 1; -1; 1; FALSE; FALSE; 34; 0; 0; 34; 0; 0; -1; 
  188Ï; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 8; 8; -1; 1; FALSE; FALSE; 36; 0; -1; 36; 0; -1; -1; 
  192Ï; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 2; -1; 1; FALSE; FALSE; 174; 0; 0; 174; 0; 0; -1; 
  194; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 1; -1; 1; FALSE; FALSE; 34; 0; 0; 34; 0; 0; -1; 
  195Ð; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 8; 6; -1; 1; FALSE; FALSE; 162; 0; -1; 162; 0; -1; -1; 
  196Ð; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 8; 6; -1; 8; FALSE; FALSE; 162; 0; -1; 162; 0; -1; -1; 
  197Í; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 1; -1; 8; FALSE; FALSE; 34; 0; 0; 34; 0; 0; -1; 
  197Ð; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 8; 7; -1; 8; FALSE; FALSE; 161; 0; -1; 161; 0; -1; -1; 
  200; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 1; -1; 2; FALSE; FALSE; 68; 32768; 32768; 68; 32768; 32768; -1; 
  201; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 2; -1; 2; FALSE; FALSE; 9; 32768; -1; 9; 32768; -1; -1; 
  205; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 1; -1; 2; FALSE; FALSE; 68; 32768; 32768; 68; 32768; 32768; -1; 
  206; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 2; -1; 2; FALSE; FALSE; 174; 0; 0; 174; 0; 0; -1; 
  207; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 1; -1; 2; FALSE; FALSE; 34; 0; 0; 34; 0; 0; -1; 
  208; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 1; -1; 1; FALSE; FALSE; 34; 0; 0; 34; 0; 0; -1; 
  209; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 1; -1; 1; FALSE; FALSE; 68; 32768; 32768; 68; 32768; 32768; -1; 
  210; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 1; -1; 2; FALSE; FALSE; 68; 32768; 32768; 68; 32768; 32768; -1; 
  211; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 1; 14; -1; 2; FALSE; FALSE; 118; 0; -1; 118; 0; -1; -1; 
  214; 0;      0.0;      0.0;      0.0;      0.0; 0; 0; 2; 1; -1; 2; FALSE; FALSE; 68; 32768; 32768; 68; 32768; 32768; -1; 
