-2.86000000000000E+0003;  13145667
-2.85500000000000E+0003;  13411140
-2.85000000000000E+0003;  13676106
-2.84500000000000E+0003;  14006360
-2.84000000000000E+0003;  14337136
-2.83500000000000E+0003;  14667655
-2.83000000000000E+0003;  14800539
-2.82500000000000E+0003;  14933168
-2.82000000000000E+0003;  15000005
-2.81500000000000E+0003;  14934734
-2.81000000000000E+0003;  13294009
-2.80500000000000E+0003;  10537356
-2.80000000000000E+0003;  12178863
-2.79500000000000E+0003;  13032912
-2.79000000000000E+0003;  12771312
-2.78500000000000E+0003;  10999799
-2.78000000000000E+0003;  9162490
-2.77500000000000E+0003;  7586556
-2.77000000000000E+0003;  7124220
-2.76500000000000E+0003;  7185146
-2.76000000000000E+0003;  7113210
-2.75500000000000E+0003;  6516730
-2.75000000000000E+0003;  5395962
