 1.00000000000000E+0002;  6881019
 1.20000000000000E+0002;  6683646
 1.40000000000000E+0002;  6878462
 1.60000000000000E+0002;  6876414
 1.80000000000000E+0002;  6874622
 2.00000000000000E+0002;  6872318
 2.20000000000000E+0002;  6870526
 2.40000000000000E+0002;  6868734
 2.60000000000000E+0002;  6865918
 2.70000000000000E+0002;  6864126
 2.80000000000000E+0002;  6861054
 3.00000000000000E+0002;  6857982
 3.20000000000000E+0002;  6856190
 3.40000000000000E+0002;  6853374
 3.60000000000000E+0002;  6850302
 3.80000000000000E+0002;  6848510
 4.00000000000000E+0002;  6848510
