10229; 12971; 4227200; 0
10229; 12627; 4227200; 0
10229; 12716; 4227200; 0
10229; 10534; 4227200; 0
10229; 13069; 4227200; 0
10229; 11806; 4227200; 0
10229; 11714; 4227200; 0
10229; 10457; 4227200; 0
12054; 13391; 16711935; 0
12054; 12340; 16711935; 0
12054; 13547; 16711935; 0
12972; 10534; 16777215; 0
12972; 12971; 16777215; 0
12972; 13218; 16777215; 0
12972; 10358; 16777215; 0
12972; 11806; 16777215; 0
12972; 12716; 16777215; 0
14006; 10638; 65433; 0
14006; 14005; 65433; 0
14006; 11663; 65433; 0
14987; 10042; 16711808; 0
14987; 10040; 16711808; 0
14987; 11541; 16711808; 0
