14318; FWellsa; 34; 0; -1
14344; FWellsa; 68; 32768; -1
14360; FWellsa; 36; 0; -1
14425; FWellsa; 68; 32768; -1
14428; FGTMA; 106; 255; -1
14428; FWellsa; 54; 0; -1
14468; FWellsa; 74; 32768; -1
14469; FWellsa; 68; 32768; -1
14475; FWellsa; 54; 0; -1
14754; FWellsa; 60; 0; -1
14987; FWellsa; 68; 32768; -1
15555; FGTMA; 93; 8388863; -1
15555; FWellsa; 34; 0; -1
15567; FWellsa; 34; 0; -1
