    1Р; 0; 952044; 696537; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
    2Р; 0; 941067; 695783; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 2; 8; 0; -1
    3Р; 0; 937313; 691951; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
    7Р; 0; 931119; 688492; -1; -1; 41; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 7; -1
   45Р; 0; 952142; 690037; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
   85Р; 0; 951992; 692540; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
   92Р; 0; 950598; 698867; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
   94П; 0; 957545; 702202; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
   97Р; 0; 958715; 692698; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
   98Р; 0; 945683; 699681; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  113Р; ; 930914; 697698; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  116Р; 0; 935172; 689999; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  118Р; 0; 940459; 690885; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  150Р; 0; 972876; 677500; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  151Р; 0; 974153; 674213; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  152Р; 0; 960208; 692637; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  153Р; 0; 970621; 685735; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  154Р; 0; 965179; 690316; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  155Р; 0; 956414; 692939; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  157Р; 0; 968005; 691952; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  158Р; 0; 961858; 684181; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  159Р; 0; 957721; 684072; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  160Р; 0; 971892; 689512; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  161П; 0; 976367; 689628; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  162Р; 0; 982693; 696061; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  163Р; 0; 973606; 669491; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  164Р; 0; 974311; 688000; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  165П; 0; 968307; 689002; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  166Р; 0; 966174; 680721; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  167Р; 0; 981170; 698705; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  168Р; 0; 964684; 684670; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  170Р; 0; 957880; 688994; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  171Р; 0; 963958; 693615; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  173Р; 0; 953582; 695564; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  174Р; 0; 950863; 696789; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  175Р; 0; 950315; 693898; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  176Р; 0; 954630; 699112; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  177Р; 0; 952787; 699452; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  178Р; 0; 948370; 699965; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  179Р; 0; 984212; 681294; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  179У; 40; 951783; 700769; -1; -1; 54; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 2; 1; 6; -1
  180Р; 0; 955627; 696336; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  181Р; 0; 957999; 695171; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  182П; 0; 968017; 697192; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  183Р; 0; 971523; 696048; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  185П; 0; 962905; 704053; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  186Р; 0; 992377; 701179; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  187Р; 0; 947722; 697217; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  188П; 0; 944803; 694945; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  189Р; 0; 941816; 693517; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  191Р; 0; 967996; 699436; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  192Р; 0; 943557; 698233; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  194Р; 0; 956957; 698463; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  195Р; 0; 972132; 692668; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; 8; 8; 0; -1
  196Р; 0; 974372; 694720; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
  198Р; 0; 969650; 690934; -1; -1; 36; 0; -1; ; ; ; -1;      0.0;      0.0;      0.0;      0.0; 0; 0; ; ; 0; -1; 8; 0; -1
